parcel_number,address,latitude,longitude,property_class,historic_district,scraped
16183010180000,913 WISCONSIN AVE,41.87179234,-87.80234387,203,,false
16061220110000,914 BELLEFORTE AVE,41.90222392,-87.80223562,205,,false
16062270090000,914 COLUMBIAN AVE,41.90235706,-87.79090669,206,,false
16061230130000,914 FOREST AVE,41.90217061,-87.80068612,206,,false
16183040050000,914 HOME AVE,41.87175342,-87.79894882,206,,false
16061260090000,914 N GROVE AVE,41.90226219,-87.79606384,206,,false
16051220130000,914 N HARVEY AVE,41.90247178,-87.7824432,203,,false
16051250130000,914 N HAYES AVE,41.90252691,-87.77878897,203,,false
16061250090000,914 N KENILWORTH AVE,41.90224592,-87.79752702,204,,false
16062260090000,914 N LINDEN AVE,41.90237847,-87.79218068,206,,false
16051240130000,914 N LOMBARD AVE,41.90249872,-87.77999115,203,,false
16061210090000,914 N MARION ST,41.90211868,-87.80364537,205,,false
16173070080000,914 S HUMPHREY AVE,41.87217792,-87.77530851,203,,false
16173040080000,914 S LOMBARD AVE,41.8721269,-87.77900043,207,,false
16173060050000,914 S LYMAN AVE,41.87219434,-87.7765509,205,,false
16183010060000,914 S MAPLE AVE,41.87167673,-87.80330482,203,,false
16173050080000,914 S TAYLOR AVE,41.87214855,-87.77774929,202,,false
16063040390000,914 THOMAS ST,41.89997787,-87.79850764,205,Frank Lloyd Wright,false
16061210220000,915 BELLEFORTE AVE,41.90219845,-87.80282489,206,,false
16062260210000,915 COLUMBIAN AVE,41.90234924,-87.7915218,205,,false
16061220230000,915 FOREST AVE,41.90216057,-87.80128471,206,,false
16173010160000,915 HIGHLAND AVE,41.87206334,-87.78199168,205,,false
16183030230000,915 HOME AVE,41.87175594,-87.79949189,205,,false
16051220300000,915 MAPLETON AVE,41.90247562,-87.78175497,204,,false
16062270210000,915 N EAST AVE,41.90232702,-87.79033111,205,,false
16062290260000,915 N ELMWOOD AVE,41.90240018,-87.78709226,206,,false
16062240210000,915 N EUCLID AVE,41.90233679,-87.79399426,205,,false
16061250210000,915 N GROVE AVE,41.90236608,-87.79670349,206,,false
16051210350000,915 N HARVEY AVE,41.90247268,-87.78304031,203,,false
16051240300000,915 N HAYES AVE,41.90250295,-87.77931632,203,,false
16051260310000,915 N HUMPHREY AVE,41.90254799,-87.77685576,203,,false
16051230300000,915 N LOMBARD AVE,41.90248504,-87.7805248,203,,false
16061260210000,915 N OAK PARK AVE,41.90227815,-87.79522746,206,,false
16183040180000,915 S CLINTON AVE,41.87176163,-87.79822422,205,,false
16183060210000,915 S GROVE AVE,41.87182099,-87.79557658,203,,false
16173020340000,915 S LOMBARD AVE,41.87211489,-87.77958123,205,,false
16073040050000,915 SOUTH BLVD,41.88661007,-87.7979977,206,Ridgeland - Oak Park,false
16063110030000,915 THOMAS ST,41.89969241,-87.7986896,202,Frank Lloyd Wright,false
16061220100000,916 BELLEFORTE AVE,41.90235204,-87.80223456,205,,false
16062290090000,916 FAIR OAKS AVE,41.90244851,-87.7880229,206,,false
16061230080000,916 FOREST AVE,41.90230385,-87.80068157,206,,false
16051230120000,916 MAPLETON AVE,41.90257683,-87.78120574,203,,false
16062250090000,916 N EUCLID AVE,41.90236493,-87.79333452,206,,false
16051220120000,916 N HARVEY AVE,41.90255661,-87.78241856,204,,false
16051270140000,916 N HUMPHREY AVE,41.90263659,-87.77632684,205,,false
16051240120000,916 N LOMBARD AVE,41.90261069,-87.78000454,203,,false
16062240090000,916 N OAK PARK AVE,41.90231376,-87.79456241,205,,false
16051210140000,916 N RIDGELAND AVE,41.9025231,-87.78384449,203,,false
16051260120000,916 N TAYLOR AVE,41.90264152,-87.77755293,203,,false
16183050050000,916 S CLINTON AVE,41.8717714,-87.79768153,204,,false
16173060060000,916 S LYMAN AVE,41.87209116,-87.77655179,205,,false
16173050090000,916 S TAYLOR AVE,41.87208274,-87.77777217,205,,false
16183030110000,916 WENONAH AVE,41.87172138,-87.80036866,205,,false
16183020120000,916 WISCONSIN AVE,41.87169308,-87.80176423,203,,false
16071030440000,917 CHICAGO AVE,41.89412023,-87.7985235,206,Frank Lloyd Wright,false
16062280200000,917 FAIR OAKS AVE,41.90246322,-87.78871717,206,,false
16061220220000,917 FOREST AVE,41.90232977,-87.80129703,204,,false
16183030240000,917 HOME AVE,41.87166711,-87.7994978,205,,false
16051220290000,917 MAPLETON AVE,41.90256844,-87.78176373,202,,false
16051210340000,917 N HARVEY AVE,41.90255013,-87.78303965,203,,false
16051240290000,917 N HAYES AVE,41.90259549,-87.77933728,203,,false
